"CIDADE";"ESTADO";"CAPITAL";"IDHM";"IDHM_Renda";"IDHM_Longevidade";"IDHM_Educacao";"POPULACAO_ESTIMADA";"PIB";"regiao"
"Guarani";"MG";0;0.677;0.685;0.849;0.533;8903;126316;"Norte"
"Guarani D'Oeste";"SP";0;0.732;0.682;0.806;0.714;2002;30634;"Norte"
"Guarani Das Missoes";"RS";0;0.737;0.698;0.863;0.665;7614;287275;"Sul"
"Guarani De Goias";"GO";0;0.637;0.569;0.814;0.557;3940;44313;"Centro-Oeste"
"Guaraniacu";"PR";0;0.677;0.698;0.841;0.528;12733;348044;"Sul"
"Guaranta";"SP";0;0.713;0.698;0.832;0.623;6654;147331;"Norte"
"Guaranta Do Norte";"MT";0;0.703;0.692;0.826;0.609;35497;676549;"Centro-Oeste"
"Guaranesia";"MG";0;0.701;0.693;0.845;0.589;19025;373576;"Norte"
"Guarapari";"ES";0;0.731;0.746;0.837;0.626;122982;2077624;"Norte"
"Guarapuava";"PR";0;0.731;0.73;0.853;0.628;180334;5255615;"Sul"
"Guaraquecaba";"PR";0;0.587;0.587;0.792;0.434;7679;104428;"Sul"
"Guararapes";"SP";0;0.763;0.727;0.84;0.726;32774;1237334;"Norte"
"Guararema";"SP";0;0.731;0.729;0.817;0.656;29451;1427047;"Norte"
